n km kb millisegundos
1 1 1 3.70000000
1 1 1 3.40000000
1 1 1 3.70000000
1 1 1 3.70000000
1 1 1 4.00000000
1 1 1 3.40000000
1 1 1 3.70000000
1 1 1 3.60000000
1 1 1 3.50000000
1 1 1 3.50000000
2 2 1 3.80000000
2 1 2 3.40000000
2 2 2 3.40000000
2 2 2 3.60000000
2 1 1 3.50000000
2 1 2 3.60000000
2 1 1 3.20000000
2 1 1 3.30000000
2 1 2 3.80000000
2 1 1 3.30000000
3 2 3 3.80000000
3 3 1 3.10000000
3 1 1 3.50000000
3 1 2 3.50000000
3 3 1 3.70000000
3 3 2 3.60000000
3 3 2 3.60000000
3 3 1 3.70000000
3 1 2 4.00000000
3 3 3 3.50000000
4 3 2 3.80000000
4 3 3 3.60000000
4 3 4 3.40000000
4 3 1 3.50000000
4 2 2 3.50000000
4 2 3 3.80000000
4 4 1 3.70000000
4 4 3 3.70000000
4 1 1 3.30000000
4 2 1 3.80000000
5 3 4 3.50000000
5 1 5 3.40000000
5 3 4 3.80000000
5 1 4 3.40000000
5 4 2 3.70000000
5 1 2 3.70000000
5 4 5 3.60000000
5 5 3 3.50000000
5 2 5 3.50000000
5 4 1 3.40000000
6 2 1 3.80000000
6 4 3 4.20000000
6 3 2 3.60000000
6 5 1 3.80000000
6 4 2 3.80000000
6 1 2 3.90000000
6 2 5 3.20000000
6 1 3 3.40000000
6 1 3 3.60000000
6 6 4 3.50000000
7 7 6 3.80000000
7 1 5 3.30000000
7 3 3 3.50000000
7 3 4 3.80000000
7 2 2 3.90000000
7 4 2 3.80000000
7 2 1 3.50000000
7 2 1 3.70000000
7 2 2 3.30000000
7 5 2 3.70000000
8 8 6 3.70000000
8 2 4 4.20000000
8 1 8 3.30000000
8 1 5 3.80000000
8 4 6 3.70000000
8 4 6 3.70000000
8 1 2 3.90000000
8 7 4 3.70000000
8 5 7 4.00000000
8 8 3 3.80000000
9 1 3 3.60000000
9 1 2 3.60000000
9 3 3 3.80000000
9 1 1 3.60000000
9 7 2 3.30000000
9 2 2 3.80000000
9 6 2 3.70000000
9 5 7 3.90000000
9 9 1 4.20000000
9 8 9 4.10000000
10 4 1 3.70000000
10 2 8 3.40000000
10 2 7 3.60000000
10 9 3 3.60000000
10 8 10 3.80000000
10 6 10 3.60000000
10 10 2 3.40000000
10 9 2 3.60000000
10 7 6 4.00000000
10 4 9 3.60000000
11 7 4 3.60000000
11 10 9 4.00000000
11 2 11 3.60000000
11 4 8 3.80000000
11 5 1 3.50000000
11 2 7 3.80000000
11 1 4 3.10000000
11 11 5 3.70000000
11 4 3 4.10000000
11 1 11 3.80000000
12 11 12 3.80000000
12 2 1 3.90000000
12 12 1 4.00000000
12 10 11 3.90000000
12 12 12 4.20000000
12 8 12 4.00000000
12 10 7 3.90000000
12 1 5 3.10000000
12 10 6 3.90000000
12 8 5 3.60000000
13 10 10 3.80000000
13 9 8 3.90000000
13 13 10 4.20000000
13 3 8 4.00000000
13 5 10 3.70000000
13 13 12 4.70000000
13 11 5 3.70000000
13 2 10 3.80000000
13 13 4 3.60000000
13 9 8 3.80000000
14 6 7 4.00000000
14 1 6 3.30000000
14 13 3 3.80000000
14 10 6 3.90000000
14 10 13 4.40000000
14 13 4 4.20000000
14 10 14 4.20000000
14 14 10 4.10000000
14 10 12 4.00000000
14 9 14 4.00000000
15 2 11 3.70000000
15 5 14 3.90000000
15 12 8 3.70000000
15 10 9 4.20000000
15 2 5 3.40000000
15 9 8 3.80000000
15 2 3 3.70000000
15 5 7 3.70000000
15 1 15 3.10000000
15 1 11 3.10000000
16 11 12 4.00000000
16 9 12 4.20000000
16 2 15 3.80000000
16 4 4 3.50000000
16 5 15 3.90000000
16 9 7 3.90000000
16 1 11 3.70000000
16 2 11 3.70000000
16 1 14 4.00000000
16 11 6 3.80000000
17 7 17 3.90000000
17 14 12 4.60000000
17 13 5 3.60000000
17 15 17 4.50000000
17 5 5 3.50000000
17 4 7 3.70000000
17 5 13 3.60000000
17 17 3 3.80000000
17 11 8 4.00000000
17 13 6 3.80000000
18 7 11 3.80000000
18 8 16 4.60000000
18 6 15 3.80000000
18 1 8 3.80000000
18 2 16 4.10000000
18 5 16 3.90000000
18 15 9 4.60000000
18 4 2 3.60000000
18 1 8 3.60000000
18 13 18 4.60000000
19 19 3 4.00000000
19 8 15 3.90000000
19 19 9 4.40000000
19 15 3 3.70000000
19 4 7 3.90000000
19 13 12 4.60000000
19 2 9 3.80000000
19 15 6 4.20000000
19 14 7 3.90000000
19 9 17 4.40000000
20 4 10 3.90000000
20 14 17 5.10000000
20 7 5 3.70000000
20 15 20 5.70000000
20 9 14 4.00000000
20 10 12 4.50000000
20 7 16 4.50000000
20 4 9 5.20000000
20 11 6 4.00000000
20 19 17 5.60000000
21 16 17 5.20000000
21 6 14 4.40000000
21 6 3 4.00000000
21 20 7 4.60000000
21 14 19 5.10000000
21 20 18 6.00000000
21 15 15 5.00000000
21 14 2 3.90000000
21 19 16 5.20000000
21 14 7 4.10000000
22 17 9 4.60000000
22 17 19 5.80000000
22 11 2 3.50000000
22 9 22 4.80000000
22 20 17 5.90000000
22 22 20 6.30000000
22 6 11 4.10000000
22 2 5 3.70000000
22 12 2 3.80000000
22 7 7 3.90000000
23 9 13 3.90000000
23 22 20 6.80000000
23 16 4 3.80000000
23 8 8 4.00000000
23 7 17 4.10000000
23 19 5 4.40000000
23 5 19 4.00000000
23 1 9 3.90000000
23 2 22 3.90000000
23 17 16 5.30000000
24 21 20 7.00000000
24 7 18 4.20000000
24 11 6 3.90000000
24 18 22 6.20000000
24 12 1 3.40000000
24 8 12 4.30000000
24 11 21 4.90000000
24 18 1 3.70000000
24 3 15 4.00000000
24 15 18 5.30000000
25 20 4 3.60000000
25 6 8 3.90000000
25 17 23 5.80000000
25 3 21 4.20000000
25 17 22 6.10000000
25 12 5 3.70000000
25 12 5 3.80000000
25 17 14 5.10000000
25 6 15 4.00000000
25 1 11 3.70000000
26 5 16 4.00000000
26 6 17 4.50000000
26 2 11 3.60000000
26 20 13 5.30000000
26 25 26 8.10000000
26 16 24 5.30000000
26 9 22 4.70000000
26 16 13 5.00000000
26 10 12 3.90000000
26 10 15 4.30000000
27 25 9 5.40000000
27 1 9 3.90000000
27 15 26 6.60000000
27 5 18 4.00000000
27 10 16 4.20000000
27 9 23 5.00000000
27 7 16 4.40000000
27 23 14 6.50000000
27 2 9 4.00000000
27 25 13 5.90000000
28 3 13 3.40000000
28 8 8 3.90000000
28 15 24 6.20000000
28 11 5 3.80000000
28 5 26 4.70000000
28 27 12 6.20000000
28 3 14 3.70000000
28 10 1 4.00000000
28 13 18 5.10000000
28 17 15 5.10000000
29 3 18 3.80000000
29 9 21 4.80000000
29 12 22 5.30000000
29 6 14 3.90000000
29 12 19 5.50000000
29 1 26 3.80000000
29 22 14 5.40000000
29 1 23 3.90000000
29 20 22 6.00000000
29 19 17 6.00000000
30 20 28 7.80000000
30 30 3 4.40000000
30 25 1 3.90000000
30 18 21 6.10000000
30 9 29 5.30000000
30 9 14 4.30000000
30 15 21 6.00000000
30 11 27 6.10000000
30 9 11 3.20000000
30 20 19 6.20000000
31 8 24 4.90000000
31 6 23 4.70000000
31 19 16 5.90000000
31 27 12 6.10000000
31 23 20 7.80000000
31 19 16 6.30000000
31 4 15 4.00000000
31 18 8 4.60000000
31 7 25 5.00000000
31 12 25 5.90000000
32 11 32 5.90000000
32 11 14 4.60000000
32 21 9 5.20000000
32 22 32 8.60000000
32 9 10 3.60000000
32 28 20 8.10000000
32 25 25 8.60000000
32 32 30 11.70000000
32 24 23 7.30000000
32 31 9 5.80000000
33 23 14 6.20000000
33 20 13 5.20000000
33 31 25 10.00000000
33 30 21 8.30000000
33 31 19 8.20000000
33 9 7 3.80000000
33 28 12 6.10000000
33 10 28 5.60000000
33 23 22 7.00000000
33 23 12 5.70000000
34 13 17 5.20000000
34 12 2 3.70000000
34 21 21 7.30000000
34 17 23 6.70000000
34 22 19 6.60000000
34 2 7 3.60000000
34 12 14 4.80000000
34 9 34 5.90000000
34 22 6 4.30000000
34 23 25 8.10000000
35 3 10 3.80000000
35 10 24 5.20000000
35 3 11 4.00000000
35 26 16 6.40000000
35 32 14 7.10000000
35 22 11 5.20000000
35 7 10 3.80000000
35 25 9 5.50000000
35 22 23 8.20000000
35 23 22 7.50000000
36 30 26 11.60000000
36 28 30 11.50000000
36 18 4 3.80000000
36 11 28 6.20000000
36 36 10 6.60000000
36 25 23 8.10000000
36 31 24 9.40000000
36 34 32 11.70000000
36 13 4 3.80000000
36 5 28 4.70000000
37 6 29 5.00000000
37 18 25 6.90000000
37 19 4 4.50000000
37 25 24 9.00000000
37 28 17 7.40000000
37 1 16 3.90000000
37 2 2 3.70000000
37 17 23 6.80000000
37 14 20 5.60000000
37 23 17 6.80000000
38 4 34 4.60000000
38 5 12 3.80000000
38 6 10 3.50000000
38 35 24 9.80000000
38 10 10 4.10000000
38 8 20 4.80000000
38 8 36 6.40000000
38 18 21 6.80000000
38 26 14 7.10000000
38 23 3 4.20000000
39 19 11 5.50000000
39 16 5 4.10000000
39 17 3 4.00000000
39 11 9 4.40000000
39 17 8 4.70000000
39 6 19 4.30000000
39 29 33 12.70000000
39 22 36 10.40000000
39 3 14 3.80000000
39 33 35 15.40000000
40 8 27 5.30000000
40 5 6 3.70000000
40 31 19 9.20000000
40 29 1 4.00000000
40 20 38 9.50000000
40 27 18 7.60000000
