s n m tiempo
1 1 1 602.90000000
1 1 2 193.00000000
1 1 3 135.90000000
1 1 4 140.70000000
1 1 5 140.40000000
1 1 6 104.10000000
1 1 7 101.50000000
1 1 8 105.80000000
1 1 9 103.20000000
1 1 10 111.00000000
1 1 11 106.80000000
1 1 12 98.50000000
1 1 13 103.00000000
1 1 14 102.30000000
1 1 15 98.10000000
1 1 16 95.20000000
1 1 17 125.90000000
1 1 18 128.90000000
1 1 19 137.00000000
1 1 20 116.60000000
1 1 21 90.10000000
1 1 22 96.80000000
1 1 23 170.60000000
1 1 24 96.20000000
1 1 25 93.50000000
1 1 26 97.50000000
1 1 27 102.40000000
1 1 28 146.00000000
1 1 29 110.00000000
1 1 30 94.00000000
1 1 31 132.60000000
1 1 32 100.30000000
1 1 33 106.10000000
1 1 34 93.90000000
1 1 35 113.80000000
1 1 36 95.10000000
1 1 37 92.50000000
1 1 38 117.60000000
1 1 39 89.70000000
1 1 40 90.50000000
1 1 41 91.70000000
1 1 42 117.70000000
1 1 43 91.70000000
1 1 44 90.30000000
1 1 45 107.50000000
1 1 46 93.10000000
1 1 47 93.90000000
1 1 48 86.00000000
1 1 49 91.10000000
1 1 50 89.40000000
1 1 51 110.60000000
1 1 52 95.00000000
1 1 53 92.10000000
1 1 54 111.40000000
1 1 55 100.80000000
1 1 56 90.70000000
1 1 57 90.50000000
1 1 58 90.10000000
1 1 59 87.10000000
1 1 60 89.60000000
1 1 61 87.60000000
1 1 62 105.60000000
1 1 63 89.10000000
1 1 64 109.20000000
1 1 65 89.90000000
1 1 66 90.50000000
1 1 67 101.40000000
1 1 68 105.80000000
1 1 69 90.10000000
1 1 70 87.60000000
1 1 71 87.00000000
1 1 72 89.10000000
1 1 73 201.20000000
1 1 74 133.60000000
1 1 75 94.40000000
1 1 76 106.90000000
1 1 77 96.30000000
1 1 78 86.70000000
1 1 79 89.00000000
1 1 80 90.70000000
1 1 81 116.60000000
1 1 82 91.70000000
1 1 83 144.20000000
1 1 84 94.90000000
1 1 85 110.90000000
1 1 86 109.70000000
1 1 87 139.20000000
1 1 88 100.40000000
1 1 89 161.00000000
1 1 90 124.90000000
1 1 91 93.40000000
1 1 92 89.10000000
1 1 93 89.60000000
1 1 94 93.60000000
1 1 95 96.00000000
1 1 96 89.80000000
1 1 97 91.70000000
1 1 98 85.80000000
1 1 99 91.50000000
1 1 100 91.10000000
1 2 1 115.70000000
1 2 2 155.90000000
1 2 3 145.50000000
1 2 4 146.20000000
1 2 5 145.30000000
1 2 6 113.80000000
1 2 7 161.60000000
1 2 8 154.90000000
1 2 9 131.90000000
1 2 10 121.80000000
1 2 11 132.00000000
1 2 12 133.10000000
1 2 13 152.70000000
1 2 14 124.70000000
1 2 15 125.20000000
1 2 16 119.70000000
1 2 17 125.40000000
1 2 18 116.30000000
1 2 19 123.00000000
1 2 20 187.00000000
1 2 21 120.20000000
1 2 22 124.40000000
1 2 23 126.70000000
1 2 24 130.60000000
1 2 25 123.80000000
1 2 26 162.30000000
1 2 27 117.00000000
1 2 28 110.40000000
1 2 29 121.10000000
1 2 30 124.10000000
1 2 31 125.60000000
1 2 32 159.10000000
1 2 33 129.80000000
1 2 34 130.40000000
1 2 35 152.20000000
1 2 36 120.30000000
1 2 37 118.90000000
1 2 38 113.80000000
1 2 39 148.80000000
1 2 40 116.50000000
1 2 41 120.00000000
1 2 42 112.20000000
1 2 43 1008.70000000
1 2 44 110.70000000
1 2 45 116.00000000
1 2 46 166.40000000
1 2 47 144.00000000
1 2 48 120.00000000
1 2 49 123.60000000
1 2 50 128.60000000
1 2 51 127.00000000
1 2 52 130.40000000
1 2 53 139.10000000
1 2 54 125.00000000
1 2 55 115.30000000
1 2 56 121.80000000
1 2 57 114.80000000
1 2 58 124.40000000
1 2 59 126.40000000
1 2 60 125.60000000
1 2 61 166.50000000
1 2 62 120.70000000
1 2 63 123.60000000
1 2 64 120.50000000
1 2 65 143.30000000
1 2 66 119.50000000
1 2 67 118.60000000
1 2 68 116.70000000
1 2 69 139.10000000
1 2 70 116.90000000
1 2 71 117.10000000
1 2 72 153.20000000
1 2 73 113.00000000
1 2 74 148.50000000
1 2 75 126.70000000
1 2 76 124.20000000
1 2 77 119.60000000
1 2 78 125.00000000
1 2 79 122.90000000
1 2 80 112.10000000
1 2 81 113.70000000
1 2 82 138.00000000
1 2 83 120.10000000
1 2 84 147.10000000
1 2 85 120.90000000
1 2 86 138.90000000
1 2 87 141.40000000
1 2 88 132.10000000
1 2 89 110.40000000
1 2 90 138.40000000
1 2 91 124.50000000
1 2 92 155.00000000
1 2 93 137.20000000
1 2 94 111.10000000
1 2 95 112.50000000
1 2 96 122.10000000
1 2 97 112.50000000
1 2 98 126.40000000
1 2 99 117.10000000
1 2 100 111.40000000
1 3 1 103.00000000
1 3 2 158.10000000
1 3 3 119.70000000
1 3 4 122.10000000
1 3 5 119.40000000
1 3 6 125.10000000
1 3 7 119.00000000
1 3 8 110.10000000
1 3 9 122.00000000
1 3 10 133.60000000
1 3 11 205.40000000
1 3 12 139.70000000
1 3 13 160.70000000
1 3 14 143.50000000
1 3 15 159.90000000
1 3 16 138.70000000
1 3 17 150.10000000
1 3 18 141.20000000
1 3 19 139.60000000
1 3 20 151.60000000
1 3 21 130.30000000
1 3 22 112.60000000
1 3 23 122.00000000
1 3 24 151.60000000
1 3 25 158.20000000
1 3 26 124.30000000
1 3 27 121.00000000
1 3 28 143.80000000
1 3 29 140.30000000
1 3 30 122.00000000
1 3 31 139.40000000
1 3 32 127.70000000
1 3 33 127.70000000
1 3 34 153.90000000
1 3 35 127.50000000
1 3 36 109.90000000
1 3 37 150.50000000
1 3 38 118.30000000
1 3 39 154.70000000
1 3 40 128.30000000
1 3 41 131.50000000
1 3 42 135.60000000
1 3 43 128.20000000
1 3 44 136.50000000
1 3 45 162.20000000
1 3 46 133.20000000
1 3 47 131.80000000
1 3 48 136.40000000
1 3 49 133.70000000
1 3 50 146.90000000
1 3 51 137.00000000
1 3 52 141.50000000
1 3 53 139.20000000
1 3 54 138.20000000
1 3 55 156.80000000
1 3 56 130.60000000
1 3 57 187.00000000
1 3 58 127.20000000
1 3 59 132.40000000
1 3 60 193.50000000
1 3 61 150.70000000
1 3 62 168.20000000
1 3 63 161.40000000
1 3 64 128.30000000
1 3 65 139.90000000
1 3 66 132.50000000
1 3 67 137.50000000
1 3 68 116.60000000
1 3 69 149.30000000
1 3 70 128.00000000
1 3 71 176.30000000
1 3 72 145.80000000
1 3 73 163.50000000
1 3 74 156.70000000
1 3 75 140.60000000
1 3 76 133.50000000
1 3 77 128.40000000
1 3 78 135.70000000
1 3 79 124.60000000
1 3 80 136.60000000
1 3 81 143.20000000
1 3 82 130.50000000
1 3 83 130.50000000
1 3 84 134.00000000
1 3 85 123.20000000
1 3 86 146.20000000
1 3 87 142.00000000
1 3 88 138.10000000
1 3 89 134.40000000
1 3 90 178.60000000
1 3 91 128.60000000
1 3 92 186.10000000
1 3 93 176.10000000
1 3 94 157.20000000
1 3 95 155.20000000
1 3 96 132.90000000
1 3 97 289.90000000
1 3 98 156.20000000
1 3 99 159.30000000
1 3 100 138.60000000
1 4 1 131.50000000
1 4 2 168.60000000
1 4 3 134.40000000
1 4 4 137.20000000
1 4 5 134.00000000
1 4 6 133.10000000
1 4 7 138.90000000
1 4 8 120.90000000
1 4 9 124.60000000
1 4 10 127.90000000
1 4 11 4251.40000000
1 4 12 133.10000000
1 4 13 127.00000000
1 4 14 149.90000000
1 4 15 209.50000000
1 4 16 126.10000000
1 4 17 148.80000000
1 4 18 117.20000000
1 4 19 121.20000000
1 4 20 130.00000000
1 4 21 131.80000000
1 4 22 137.20000000
1 4 23 167.20000000
1 4 24 130.70000000
1 4 25 158.80000000
1 4 26 116.60000000
1 4 27 3031.00000000
1 4 28 158.40000000
1 4 29 121.20000000
1 4 30 121.80000000
1 4 31 122.80000000
1 4 32 125.10000000
1 4 33 172.80000000
1 4 34 124.40000000
1 4 35 131.80000000
1 4 36 131.20000000
1 4 37 121.50000000
1 4 38 127.10000000
1 4 39 122.50000000
1 4 40 126.40000000
1 4 41 128.50000000
1 4 42 151.10000000
1 4 43 167.50000000
1 4 44 151.90000000
1 4 45 143.20000000
1 4 46 186.20000000
1 4 47 121.90000000
1 4 48 148.40000000
1 4 49 124.80000000
1 4 50 140.70000000
1 4 51 121.70000000
1 4 52 130.10000000
1 4 53 129.20000000
1 4 54 128.40000000
1 4 55 125.80000000
1 4 56 130.00000000
1 4 57 161.40000000
1 4 58 129.10000000
1 4 59 120.30000000
1 4 60 116.20000000
1 4 61 160.50000000
1 4 62 123.00000000
1 4 63 159.60000000
1 4 64 127.60000000
1 4 65 138.20000000
1 4 66 123.20000000
1 4 67 124.00000000
1 4 68 163.30000000
1 4 69 121.60000000
1 4 70 119.00000000
1 4 71 120.70000000
1 4 72 126.00000000
1 4 73 127.00000000
1 4 74 118.60000000
1 4 75 135.30000000
1 4 76 199.70000000
1 4 77 114.10000000
1 4 78 128.00000000
1 4 79 118.20000000
1 4 80 157.80000000
