s n m tiempo
1 100 100 641.80000000
51 100 100 386.30000000
101 100 100 387.20000000
151 100 100 404.10000000
201 100 100 390.20000000
251 100 100 441.30000000
301 100 100 395.20000000
351 100 100 406.90000000
401 100 100 449.80000000
451 100 100 453.60000000
501 100 100 525.40000000
551 100 100 421.40000000
601 100 100 433.20000000
651 100 100 379.60000000
701 100 100 423.20000000
751 100 100 407.70000000
801 100 100 443.50000000
851 100 100 464.00000000
901 100 100 464.40000000
951 100 100 415.40000000
1001 100 100 462.50000000
1051 100 100 411.70000000
1101 100 100 459.30000000
1151 100 100 452.40000000
1201 100 100 472.90000000
1251 100 100 477.20000000
1301 100 100 481.80000000
1351 100 100 446.20000000
1401 100 100 457.30000000
1451 100 100 401.30000000
1501 100 100 447.80000000
1551 100 100 501.20000000
1601 100 100 412.00000000
1651 100 100 464.50000000
1701 100 100 494.60000000
1751 100 100 481.90000000
1801 100 100 401.60000000
1851 100 100 411.30000000
1901 100 100 407.20000000
1951 100 100 469.80000000
2001 100 100 439.20000000
2051 100 100 369.60000000
2101 100 100 461.80000000
2151 100 100 481.10000000
2201 100 100 432.40000000
2251 100 100 373.00000000
2301 100 100 325.90000000
2351 100 100 357.60000000
2401 100 100 328.00000000
2451 100 100 382.30000000
2501 100 100 350.80000000
2551 100 100 396.10000000
2601 100 100 442.60000000
2651 100 100 347.40000000
2701 100 100 378.90000000
2751 100 100 347.90000000
2801 100 100 1294.50000000
2851 100 100 315.70000000
2901 100 100 312.50000000
2951 100 100 346.80000000
3001 100 100 344.20000000
3051 100 100 485.00000000
3101 100 100 470.90000000
3151 100 100 436.80000000
3201 100 100 524.00000000
3251 100 100 592.20000000
3301 100 100 339.20000000
3351 100 100 350.00000000
3401 100 100 448.00000000
3451 100 100 433.40000000
3501 100 100 451.40000000
3551 100 100 445.40000000
3601 100 100 457.40000000
3651 100 100 438.50000000
3701 100 100 465.40000000
3751 100 100 413.10000000
3801 100 100 431.00000000
3851 100 100 471.70000000
3901 100 100 541.80000000
3951 100 100 424.10000000
4001 100 100 509.50000000
4051 100 100 470.00000000
4101 100 100 487.60000000
4151 100 100 447.20000000
4201 100 100 422.10000000
4251 100 100 436.80000000
4301 100 100 420.30000000
4351 100 100 494.60000000
4401 100 100 447.80000000
4451 100 100 500.00000000
4501 100 100 536.60000000
4551 100 100 451.70000000
4601 100 100 561.80000000
4651 100 100 515.50000000
4701 100 100 477.70000000
4751 100 100 462.50000000
4801 100 100 464.50000000
4851 100 100 448.00000000
4901 100 100 515.00000000
4951 100 100 527.50000000
5001 100 100 400.90000000
5051 100 100 305.60000000
5101 100 100 375.80000000
5151 100 100 484.30000000
5201 100 100 325.70000000
5251 100 100 377.80000000
5301 100 100 332.30000000
5351 100 100 320.30000000
5401 100 100 300.20000000
5451 100 100 456.70000000
5501 100 100 403.30000000
