n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
1 1 1 2705200.00000000 1 1 2705200.00000000 2705200.00000000
1 1 1 2574400.00000000 1 1 2574400.00000000 2574400.00000000
1 1 1 3990200.00000000 1 1 3990200.00000000 3990200.00000000
1 1 1 2647000.00000000 1 1 2647000.00000000 2647000.00000000
1 1 1 2302500.00000000 1 1 2302500.00000000 2302500.00000000
1 1 1 2488100.00000000 1 1 2488100.00000000 2488100.00000000
1 1 1 3057500.00000000 1 1 3057500.00000000 3057500.00000000
1 1 1 2657500.00000000 1 1 2657500.00000000 2657500.00000000
1 1 1 2571300.00000000 1 1 2571300.00000000 2571300.00000000
1 1 1 2913100.00000000 1 1 2913100.00000000 2913100.00000000
2 1 1 2880800.00000000 1 2 2880800.00000000 1440400.00000000
2 2 2 3181400.00000000 4 8 795350.00000000 397675.00000000
2 2 2 2316900.00000000 4 8 579225.00000000 289612.50000000
2 2 1 2415800.00000000 2 4 1207900.00000000 603950.00000000
2 1 1 2355600.00000000 1 2 2355600.00000000 1177800.00000000
2 2 2 2945400.00000000 4 8 736350.00000000 368175.00000000
2 2 1 2501300.00000000 2 4 1250650.00000000 625325.00000000
2 2 1 2333100.00000000 2 4 1166550.00000000 583275.00000000
2 2 2 3117300.00000000 4 8 779325.00000000 389662.50000000
2 1 2 2955500.00000000 2 4 1477750.00000000 738875.00000000
3 3 1 2338300.00000000 3 9 779433.33333333 259811.11111111
3 3 3 2881600.00000000 9 27 320177.77777778 106725.92592593
3 3 1 3196600.00000000 3 9 1065533.33333333 355177.77777778
3 3 1 2582100.00000000 3 9 860700.00000000 286900.00000000
3 2 2 2434400.00000000 4 12 608600.00000000 202866.66666667
3 3 1 2785200.00000000 3 9 928400.00000000 309466.66666667
3 3 2 3029100.00000000 6 18 504850.00000000 168283.33333333
3 1 2 2880900.00000000 2 6 1440450.00000000 480150.00000000
3 3 3 2466600.00000000 9 27 274066.66666667 91355.55555556
3 3 2 2681300.00000000 6 18 446883.33333333 148961.11111111
4 2 4 2435200.00000000 8 32 304400.00000000 76100.00000000
4 4 1 2610100.00000000 4 16 652525.00000000 163131.25000000
4 2 4 3807300.00000000 8 32 475912.50000000 118978.12500000
4 2 1 2457700.00000000 2 8 1228850.00000000 307212.50000000
4 4 4 2550400.00000000 16 64 159400.00000000 39850.00000000
4 1 3 2780600.00000000 3 12 926866.66666667 231716.66666667
4 2 3 2495000.00000000 6 24 415833.33333333 103958.33333333
4 1 2 3422500.00000000 2 8 1711250.00000000 427812.50000000
4 3 3 2817800.00000000 9 36 313088.88888889 78272.22222222
4 2 3 3308300.00000000 6 24 551383.33333333 137845.83333333
5 2 2 2418900.00000000 4 20 604725.00000000 120945.00000000
5 3 4 2283000.00000000 12 60 190250.00000000 38050.00000000
5 3 5 2415900.00000000 15 75 161060.00000000 32212.00000000
5 2 1 2925800.00000000 2 10 1462900.00000000 292580.00000000
5 2 5 2622700.00000000 10 50 262270.00000000 52454.00000000
5 5 3 3124100.00000000 15 75 208273.33333333 41654.66666667
5 4 4 2840100.00000000 16 80 177506.25000000 35501.25000000
