s tiempo
1 343553.40000000
2 694737.30000000
3 1066841.80000000
4 1082284.60000000
5 1414769.50000000
6 1551084.05000000
7 2015928.35000000
8 2096285.80000000
9 2203923.30000000
10 2215354.95000000
11 2487299.30000000
12 2671059.80000000
13 3061961.15000000
14 3022690.55000000
15 3720949.40000000
16 3975662.35000000
17 4098882.00000000
18 4040395.35000000
19 4656284.55000000
20 4726104.85000000
21 4583878.70000000
22 4453335.90000000
23 4383627.50000000
24 5260014.85000000
25 5043608.40000000
26 4897329.45000000
27 4772544.35000000
28 4779713.65000000
29 5127641.30000000
30 5052608.15000000
31 5201011.45000000
32 5259693.40000000
33 5565625.40000000
34 5528409.10000000
35 5681661.80000000
36 5497286.35000000
37 5741489.75000000
38 5919185.05000000
39 6463283.00000000
40 6349259.00000000
41 6714962.95000000
42 6341572.50000000
43 6664149.00000000
44 7194243.85000000
45 7116751.25000000
46 7594466.80000000
47 7770666.55000000
48 8109496.40000000
49 7209854.20000000
50 7853330.20000000
51 8070435.55000000
52 8050073.65000000
53 7827112.65000000
54 7645266.95000000
55 8236265.75000000
56 7934442.45000000
57 8304241.20000000
58 8582125.05000000
59 9237354.20000000
60 9954353.70000000
61 8397344.35000000
62 9316272.50000000
63 8864802.30000000
64 8244944.30000000
65 8935405.30000000
66 8391907.95000000
67 8258025.25000000
68 8860958.95000000
69 9405602.10000000
70 8945551.00000000
71 9215706.50000000
72 9218641.25000000
73 9577036.55000000
74 10052474.05000000
75 9221534.20000000
76 11812501.65000000
77 12104961.40000000
78 10218318.25000000
79 11504166.05000000
80 10635283.55000000
81 9961355.30000000
82 10088977.20000000
83 10859236.65000000
84 10973400.25000000
85 11310846.65000000
86 10454094.45000000
87 11876480.25000000
88 11339369.90000000
89 11302726.95000000
90 11949389.30000000
91 12083201.85000000
92 11634443.20000000
93 11820188.00000000
94 11367278.50000000
95 11177955.85000000
96 11230936.05000000
97 12157298.85000000
98 12676171.50000000
99 12403011.40000000
