s n m tiempo
10000 1 100 26022.00000000
10000 6 100 13565.27500000
10000 11 100 12107.62272727
10000 16 100 12982.98750000
10000 21 100 11620.07142857
10000 26 100 12670.69423077
10000 31 100 11495.75161290
10000 36 100 12965.51527778
10000 41 100 13051.16097561
10000 46 100 11757.42391304
10000 51 100 11741.39117647
10000 56 100 11973.02946429
10000 61 100 13112.43442623
10000 66 100 11711.87954545
10000 71 100 12036.80915493
10000 76 100 11088.42763158
10000 81 100 12972.12037037
10000 86 100 12693.24534884
10000 91 100 12823.88681319
10000 96 100 12436.64010417
10000 101 100 11988.95544554
10000 106 100 16777.41320755
10000 111 100 11709.99369369
10000 116 100 12739.39612069
10000 121 100 13614.77190083
10000 126 100 13644.82460317
10000 131 100 16250.53511450
10000 136 100 13084.52316176
10000 141 100 13284.70460993
10000 146 100 14420.91712329
10000 151 100 13199.84602649
10000 156 100 15430.00929487
10000 161 100 13448.34658385
10000 166 100 13387.43734940
10000 171 100 13519.94122807
10000 176 100 13688.19147727
10000 181 100 14929.49337017
10000 186 100 14320.78897849
10000 191 100 13772.78219895
10000 196 100 14440.20229592
10000 201 100 13013.38208955
10000 206 100 13126.95679612
10000 211 100 13502.13507109
10000 216 100 12903.48055556
10000 221 100 12705.83235294
10000 226 100 13327.98871681
10000 231 100 15955.97272727
10000 236 100 14891.09194915
10000 241 100 13564.85497925
10000 246 100 15431.61910569
10000 251 100 13111.05836653
10000 256 100 14419.60839844
10000 261 100 15174.86187739
10000 266 100 13843.21071429
10000 271 100 12312.54760148
10000 276 100 14102.58677536
10000 281 100 13380.82028470
10000 286 100 13829.47727273
10000 291 100 13617.93470790
10000 296 100 14887.12483108
10000 301 100 13500.03538206
10000 306 100 13546.66633987
10000 311 100 13144.90434084
10000 316 100 13256.88591772
10000 321 100 13024.35778816
10000 326 100 14504.71257669
10000 331 100 13846.50709970
10000 336 100 15309.58392857
10000 341 100 14948.95806452
10000 346 100 16502.09277457
10000 351 100 13043.75598291
10000 356 100 13833.05351124
10000 361 100 12891.71357341
10000 366 100 13379.95560109
10000 371 100 14400.90080863
10000 376 100 13419.61276596
10000 381 100 13926.82191601
10000 386 100 13327.70829016
10000 391 100 14703.70383632
10000 396 100 13620.42398990
10000 401 100 14206.89463840
10000 406 100 14379.42081281
10000 411 100 13432.34781022
10000 416 100 12875.56334135
10000 421 100 13380.04762470
10000 426 100 13536.39776995
10000 431 100 12954.65858469
10000 436 100 13093.54965596
10000 441 100 15400.74637188
10000 446 100 14541.11154709
10000 451 100 14043.41130820
10000 456 100 14619.72510965
10000 461 100 13475.82993492
10000 466 100 13370.43594421
10000 471 100 13209.86549894
10000 476 100 13230.41228992
10000 481 100 13628.24168399
10000 486 100 14063.49135802
10000 491 100 13604.65386965
10000 496 100 13233.79163306
